SURNUM ID,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Gender,Citizenship,Region,Medalist,School,HS Type,SAT Verbal,SAT Math,SAT Score,ACT Composite,,Registered Spr 14,201309_INST_TERM_GPA,201401_INST_TERM_GPA,CURRENT_TOTAL_INST_GPA_May_2014,Returned Fall 2014,Returned Spring 2015,Fall 2014 GPA,CURRENT_TOTAL_INST_GPA_Fall_2014,,,,,,,,,,,,,,,,,
76,3,3,5,1,1,2,3,2,3,3,5,3,3,3,1,3,2,4,3,3,1,3,3,,3,5,2,3,3,3,5,2,3,3,3,2,3,Northeast,2,2,Public,660,720,1380,,,1,1.31,2.56,1.83,1,1,1.20,1.81,,,,,,,,,,,,,,,,,
77,4,3,5,2,1,3,4,2,2,2,3,4,3,5,1,4,4,4,5,5,2,2,5,4,3,5,5,3,3,4,5,4,4,3,5,2,3,Non-Northeast,2,6,Public,800,690,1490,,,1,0.75,1.22,0.95,,,0.00,1.11,,,,,,,,,,,,,,,,,
78,2,2,1,2,2,1,1,1,2,2,5,5,4,4,1,5,3,4,5,5,1,3,5,1,2,4,4,2,2,1,4,5,3,3,5,1,3,Northeast,2,2,Public,,,,22,,1,3.61,3.25,3.43,1,1,3.42,3.43,,,,,,,,,,,,,,,,,
79,2,2,5,1,1,1,2,1,1,2,2,4,4,3,1,3,3,4,5,5,1,2,5,5,3,4,4,4,5,4,5,3,2,4,4,2,3,Non-Northeast,2,2,Parochial,690,680,1370,,,1,1.55,1.74,1.63,1,1,1.92,2.13,,,,,,,,,,,,,,,,,
80,2,2,5,1,1,3,3,2,1,2,5,2,4,4,1,4,3,4,5,3,1,2,5,5,3,3,4,1,2,3,5,5,1,2,5,2,3,Non-Northeast,1,7,Parochial,760,760,1520,,,1,3.33,3.02,3.16,1,1,2.58,2.98,,,,,,,,,,,,,,,,,
81,3,2,1,2,1,1,1,2,1,1,1,4,4,4,1,5,3,5,5,4,1,2,5,5,3,3,3,2,2,3,5,4,3,2,4,1,3,Northeast,2,2,Public,760,720,1480,,,1,3.92,3.58,3.75,,,0.00,3.75,,,,,,,,,,,,,,,,,
82,1,1,1,1,1,3,2,3,2,2,5,2,4,3,1,3,2,3,2,3,1,,5,,3,5,4,1,1,3,5,4,2,3,5,2,3,Northeast,1,6,Public,620,580,1200,,,1,3.65,3.59,3.63,1,1,3.63,3.62,,,,,,,,,,,,,,,,,
83,2,2,1,2,2,1,1,1,3,3,1,5,3,3,1,3,2,4,4,4,1,2,3,1,3,3,1,3,2,1,5,5,3,2,3,1,3,Northeast,2,2,Public,720,760,1480,,,1,4.00,3.84,3.92,1,1,4.00,3.95,,,,,,,,,,,,,,,,,
84,2,2,1,1,2,1,2,2,2,1,5,5,3,3,1,5,2,4,5,3,3,2,3,5,3,5,5,1,1,3,5,5,4,5,5,1,3,Non-Northeast,2,2,Public,,,,25,,1,3.09,2.00,2.62,1,1,2.61,2.71,,,,,,,,,,,,,,,,,
85,3,3,1,1,1,2,3,2,2,2,2,5,2,4,1,5,4,5,4,3,1,1,3,3,3,5,2,4,5,2,4,4,4,2,5,2,3,Non-Northeast,2,2,Public,590,690,1280,,,1,0.89,1.89,1.39,1,1,2.00,1.96,,,,,,,,,,,,,,,,,
